2025-09-10 10:24:14.774314
N		Bubblesort		BetterBubble		Selectsort		Insertionsort
3075      0.6312048435             0.6312048435             0.1482057571             0.0                      
3100      0.5784375668             0.5784375668             0.1973202229             0.0                      
3125      0.6206028461             0.6206028461             0.2156977654             0.0                      
3150      0.6188457012             0.6188457012             0.1688294411             0.0                      
3175      0.6204154491             0.6204154491             0.2128334045             0.001748085              
3200      0.5513751507             0.5513751507             0.166823864              0.0                      
3225      0.5832388401             0.5832388401             0.1881628036             0.0                      
3250      0.5837872028             0.5837872028             0.2116823196             0.0                      
3275      0.5835428238             0.5835428238             0.1595022678             0.0                      
3300      0.6061136723             0.6061136723             0.2994329929             0.0                      
3325      0.6035058498             0.6035058498             0.1722855568             0.0                      
3350      0.6222646236             0.6222646236             0.1892385483             0.0                      
3375      0.64894104               0.64894104               0.22864151               0.0018849373             
3400      0.6430850029             0.6430850029             0.1967158318             0.0                      
3425      0.6424157619             0.6424157619             0.2148044109             0.0                      
3450      0.7202363014             0.7202363014             0.2698676586             0.0                      
3475      0.7972922325             0.7972922325             0.2597923279             0.0                      
3500      0.8107359409             0.8107359409             0.2227659225             0.0031511784             
3525      0.7275154591             0.7275154591             0.2081215382             0.0                      
3550      0.67582798               0.67582798               0.2145512104             0.0010068417             
3575      0.6857135296             0.6857135296             0.215430975              0.0015044212             
3600      0.8540248871             0.8540248871             0.2243037224             0.0                      
3625      0.858253479              0.858253479              0.2475366592             0.0                      
3650      0.8116221428             0.8116221428             0.2655410767             0.0                      
3675      0.9081120491             0.9081120491             0.2173750401             0.0                      
3700      0.8344006538             0.8344006538             0.3049201965             0.0                      
3725      0.791795969              0.791795969              0.2862169743             0.0                      
3750      0.8517796993             0.8517796993             0.2136051655             0.0                      
3775      0.8293180466             0.8293180466             0.2158954144             0.0                      
3800      0.9807589054             0.9807589054             0.2693314552             0.0016031265             
3825      0.9543042183             0.9543042183             0.2750930786             0.0                      
3850      0.9825043678             0.9825043678             0.256675005              0.0                      
3875      0.8650372028             0.8650372028             0.2769639492             0.0                      
3900      0.9439804554             0.9439804554             0.2645325661             0.0                      
3925      0.9087131023             0.9087131023             0.2489948273             0.0                      
3950      0.9039816856             0.9039816856             0.2517940998             0.0                      
3975      0.923940897              0.923940897              0.2490141392             0.0                      
4000      0.9264218807             0.9264218807             0.2805316448             0.0                      
4025      0.8126525879             0.8126525879             0.2545535564             0.0                      
4050      0.9242665768             0.9242665768             0.2715673447             0.0                      
4075      1.0813992023             1.0813992023             0.2854893208             0.0010104179             
4100      0.9699184895             0.9699184895             0.3023159504             0.0                      
4125      0.9595489502             0.9595489502             0.315207243              0.0                      
4150      0.9306695461             0.9306695461             0.300955534              0.0                      
4175      1.0411131382             1.0411131382             0.3670220375             0.0                      
4200      0.9938383102             0.9938383102             0.2692451477             0.0                      
4225      1.0796034336             1.0796034336             0.4436252117             0.0022289753             
4250      1.1516318321             1.1516318321             0.3396327496             0.0                      
4275      1.3198871613             1.3198871613             0.3209059238             0.0                      
4300      1.207473278              1.207473278              0.3170692921             0.0                      
4325      1.1942670345             1.1942670345             0.3259038925             0.0                      
4350      1.1082282066             1.1082282066             0.3382532597             0.0020046234             
4375      1.0264303684             1.0264303684             0.301112175              0.0                      
4400      1.0485935211             1.0485935211             0.3056285381             0.0                      
4425      1.0430169106             1.0430169106             0.316822052              0.0                      
4450      1.0980553627             1.0980553627             0.3042533398             0.0                      
4475      1.0562720299             1.0562720299             0.3275234699             0.0                      
4500      1.0620486736             1.0620486736             0.3156177998             0.0                      
4525      1.2732479572             1.2732479572             0.3250930309             0.0                      
4550      1.0744292736             1.0744292736             0.3651485443             0.0                      
4575      1.1587505341             1.1587505341             0.3295369148             0.0                      
4600      1.1895329952             1.1895329952             0.3363623619             0.0                      
4625      1.176214695              1.176214695              0.327865839              0.0                      
4650      1.3906137943             1.3906137943             0.444216013              0.0                      
4675      1.4434034824             1.4434034824             0.3587865829             0.0                      
4700      1.2671451569             1.2671451569             0.5327813625             0.0020105839             
4725      1.4043521881             1.4043521881             0.4245886803             0.0                      
4750      1.4129884243             1.4129884243             0.3452775478             0.0                      
4775      1.2811119556             1.2811119556             0.5395348072             0.0                      
4800      1.3587031364             1.3587031364             0.31493783               0.0                      
4825      1.4900171757             1.4900171757             0.4570169449             0.0                      
4850      1.7971920967             1.7971920967             0.5953814983             0.0                      
4875      1.8767249584             1.8767249584             0.4861581326             0.0                      
4900      1.9946727753             1.9946727753             0.4834628105             0.0                      
4925      1.7232646942             1.7232646942             0.5017912388             0.0                      
4950      1.7046890259             1.7046890259             0.4853048325             0.0                      
4975      1.7533979416             1.7533979416             0.4734749794             0.0                      
